State,County,Obesity
Georgia,Jones County,31
Georgia,Lamar County,33.2
Georgia,Lanier County,29.2
Georgia,Laurens County,35.2
Georgia,Lee County,30.8
Georgia,Liberty County,33.1
Georgia,Lincoln County,35.4
Georgia,Long County,30.5
Georgia,Lowndes County,31.3
Georgia,Lumpkin County,28.8
Georgia,McDuffie County,32.5
Georgia,McIntosh County,31.5
Georgia,Macon County,34.2
Georgia,Madison County,31.7
Georgia,Marion County,31.9
Georgia,Meriwether County,32.3
Georgia,Miller County,31.6
Georgia,Mitchell County,31.3
Georgia,Monroe County,32.6
Georgia,Montgomery County,32.7
Georgia,Morgan County,31.5
Georgia,Murray County,27.7
Georgia,Muscogee County,35.8
Georgia,Newton County,31.7
Georgia,Oconee County,26.7
Georgia,Oglethorpe County,28.9
Georgia,Paulding County,25.6
Georgia,Peach County,33.7
Georgia,Pickens County,25.9
Georgia,Pierce County,30.6
Georgia,Pike County,31.3
Georgia,Polk County,26.4
Georgia,Pulaski County,30.7
Georgia,Putnam County,32.3
Georgia,Quitman County,31.2
Georgia,Rabun County,29.2
Georgia,Randolph County,36.5
Georgia,Richmond County,33
Georgia,Rockdale County,33.1
Georgia,Schley County,29
Georgia,Screven County,33.8
Georgia,Seminole County,32.2
Georgia,Spalding County,34
Georgia,Stephens County,31.7
Georgia,Stewart County,34.6
Georgia,Sumter County,37.2
Georgia,Talbot County,34.8
Georgia,Taliaferro County,35.2
Georgia,Tattnall County,31.5
Georgia,Taylor County,33
Georgia,Telfair County,30.6
Georgia,Terrell County,38.6
Georgia,Thomas County,32.6
Georgia,Tift County,32
Georgia,Toombs County,33.6
Georgia,Towns County,27.4
Georgia,Treutlen County,34.8
Georgia,Troup County,30.9
Georgia,Turner County,32.6
Georgia,Twiggs County,32
Georgia,Union County,26.6
Georgia,Upson County,34.4
Georgia,Walker County,32
Georgia,Walton County,28.3
Georgia,Ware County,34.1
Georgia,Warren County,37.2
Georgia,Washington County,34.7
Georgia,Wayne County,33.4
Georgia,Webster County,31.1
Georgia,Wheeler County,31.6
Georgia,White County,28.6
Georgia,Whitfield County,28.4
Georgia,Wilcox County,31
