Total SNAP,Life Expectancy,County,Percent Smokers,State,Percent Obese,Unemployment_rate_2010,min_wage
6016,80.07,Yolo County,13.7,California,22.9,12.1,8.0
10655,76.1,Yuba County,21.6,California,30.5,17.8,8.0
17074,77.36,Alamosa County,20.3,Colorado,20.5,9.0,7.78
8921,79.85,Arapahoe County,18.2,Colorado,20.7,8.6,7.78
8945,81.87,Archuleta County,19.5,Colorado,17,10.6,7.78
792,77.98,Baca County,22.7,Colorado,21.8,4.9,7.78
5756,76.78,Bent County,28.9,Colorado,24,8.1,7.78
27140,80.76,Chaffee County,22.8,Colorado,16.2,7.7,7.78
32443,79.6,Cheyenne County,21.6,Colorado,23.3,4.1,7.78
14320,81.25,Clear Creek County,18.5,Colorado,16.6,8.1,7.78
10798,78.07,Conejos County,19.1,Colorado,17.7,9.6,7.78
29422,77.9,Costilla County,22.3,Colorado,20.5,10.6,7.78
11299,77.88,Crowley County,27.6,Colorado,24.3,9.1,7.78
7777,81.2,Custer County,23.0,Colorado,21.2,6.6,7.78
20313,78.93,Delta County,23.7,Colorado,21.5,10.7,7.78
6344,79.45,Dolores County,21.9,Colorado,20.8,17.7,7.78
10750,83.27,Douglas County,11.3,Colorado,16.2,7.0,7.78
1642,85.35,Eagle County,14.0,Colorado,13.2,8.5,7.78
195476,79.82,El Paso County,19.6,Colorado,21.4,9.3,7.78
294,81.37,Elbert County,16.7,Colorado,20.2,8.1,7.78
4830,77.77,Fremont County,29.7,Colorado,22.4,11.7,7.78
48969,80.37,Garfield County,20.6,Colorado,17.4,10.3,7.78
8024,80.56,Gilpin County,19.9,Colorado,19.7,8.0,7.78
3260,82.35,Grand County,19.6,Colorado,18,8.8,7.78
109478,81.57,Gunnison County,14.1,Colorado,15.9,6.4,7.78
9799,83.24,Hinsdale County,14.9,Colorado,19.5,5.7,7.78
17813,77.44,Huerfano County,22.6,Colorado,20.9,14.0,7.78
377124,80.23,Jackson County,20.8,Colorado,21.8,8.8,7.78
26632,78.66,Kiowa County,20.4,Colorado,24.9,6.4,7.78
60268,79.37,Kit Carson County,24.3,Colorado,27.2,4.5,7.78
3129,81.39,La Plata County,17.2,Colorado,16.7,7.1,7.78
240870,79.64,Lake County,20.2,Colorado,19.2,11.0,7.78
39527,81.47,Larimer County,17.0,Colorado,19.3,7.6,7.78
16299,77.57,Las Animas County,24.6,Colorado,24.3,10.6,7.78
5776,79.48,Lincoln County,25.0,Colorado,23.1,6.0,7.78
1777807,79.46,Logan County,27.0,Colorado,23.7,6.3,7.78
43902,78.89,Mesa County,22.7,Colorado,22.3,11.0,7.78
14163,81.23,Mineral County,16.2,Colorado,19.7,7.0,7.78
2671,78.54,Moffat County,24.0,Colorado,24.1,9.9,7.78
22903,77.51,Montezuma County,20.1,Colorado,21.8,9.1,7.78
91424,79.5,Montrose County,21.0,Colorado,20.1,11.0,7.78
2106,78.85,Morgan County,23.7,Colorado,28.8,7.0,7.78
1089,76.72,Otero County,25.3,Colorado,25.5,9.2,7.78
64912,82.68,Ouray County,15.1,Colorado,17.5,9.8,7.78
11215,82.09,Park County,19.8,Colorado,18.4,8.1,7.78
