Unemployment_rate_2010,CountyState,Percent Obese,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,County,State,Life expectancy 2010,Percent Smokers,min_wage
8.8,Montgomery County Arkansas,29.6,478.0,6603.0,7081.0,Montgomery County,Arkansas,77.25,28.4,7.25
9.6,Ouachita County Arkansas,39.8,304.0,8045.0,8349.0,Ouachita County,Arkansas,73.53,26.9,7.25
9.1,Pike County Arkansas,33.6,292.0,5356.0,5648.0,Pike County,Arkansas,76.09,27.8,7.25
7.8,Pope County Arkansas,35.2,3208.0,35031.0,38239.0,Pope County,Arkansas,76.9,24.7,7.25
10.2,Randolph County Arkansas,34.2,1532.0,18993.0,20525.0,Randolph County,Arkansas,76.19,28.3,7.25
7.1,Scott County Arkansas,29.4,2174.0,58642.0,60816.0,Scott County,Arkansas,75.91,29.7,7.25
7.0,Sevier County Arkansas,37.9,250.0,8211.0,8461.0,Sevier County,Arkansas,75.3,27.7,7.25
7.6,Stone County Arkansas,34.2,217.0,21698.0,21915.0,Stone County,Arkansas,76.74,28.8,7.25
11.2,Van Buren County Arkansas,33.2,247.0,3588.0,3835.0,Van Buren County,Arkansas,77.27,29.0,7.25
6.5,Washington County Arkansas,28.6,279.0,5766.0,6045.0,Washington County,Arkansas,78.12,23.1,7.25
8.2,White County Arkansas,33.4,648.0,5098.0,5746.0,White County,Arkansas,76.12,24.2,7.25
8.1,Yell County Arkansas,32.5,344.0,4220.0,4564.0,Yell County,Arkansas,75.66,28.0,7.25
15.1,Lake County California,26.7,3455.0,14358.0,17813.0,Lake County,California,75.66,24.8,8.0
7.0,Douglas County Colorado,16.2,650.0,5174.0,5824.0,Douglas County,Colorado,83.27,11.3,7.78
8.1,Elbert County Colorado,20.2,32.0,374.0,406.0,Elbert County,Colorado,81.37,16.7,7.78
8.8,Jackson County Colorado,21.8,6694.0,78696.0,85390.0,Jackson County,Colorado,80.23,20.8,7.78
8.8,Liberty County Florida,35.7,5440.0,55192.0,60632.0,Liberty County,Florida,76.11,27.8,7.79
10.0,Madison County Florida,36.3,3003.0,35360.0,38363.0,Madison County,Florida,75.58,27.3,7.79
13.6,Marion County Florida,31.6,2250.0,35235.0,37485.0,Marion County,Florida,77.53,24.9,7.79
7.8,Monroe County Florida,18.9,748.0,11698.0,12446.0,Monroe County,Florida,78.3,22.9,7.79
12.1,Polk County Florida,32.1,2246.0,26994.0,29240.0,Polk County,Florida,77.82,23.8,7.79
13.4,Putnam County Florida,33.8,807.0,8525.0,9332.0,Putnam County,Florida,74.84,28.2,7.79
10.6,Seminole County Florida,24.9,1352.0,13299.0,14651.0,Seminole County,Florida,80.08,20.3,7.79
13.3,Sumter County Florida,28.1,7985.0,103771.0,111756.0,Sumter County,Florida,80.99,24.8,7.79
10.6,Taylor County Florida,35.9,2809.0,31111.0,33920.0,Taylor County,Florida,75.67,31.7,7.79
8.5,Union County Florida,38,2110.0,26941.0,29051.0,Union County,Florida,68.12,31.8,7.79
9.4,Walton County Florida,26.7,1583.0,15147.0,16730.0,Walton County,Florida,77.11,27.5,7.79
10.6,Washington County Florida,36.4,467.0,4598.0,5065.0,Washington County,Florida,74.98,30.1,7.79
10.8,Barrow County Georgia,32.2,1939.0,12250.0,14189.0,Barrow County,Georgia,76.29,23.5,7.25
9.6,Brooks County Georgia,33.3,2318.0,11581.0,13899.0,Brooks County,Georgia,75.68,28.3,7.25
8.8,Calhoun County Georgia,31.7,2665.0,15139.0,17804.0,Calhoun County,Georgia,73.99,26.1,7.25
8.8,Calhoun County Georgia,31.7,1213.0,5573.0,6786.0,Calhoun County,Georgia,73.99,26.1,7.25
8.8,Candler County Georgia,32,2259.0,10173.0,12432.0,Candler County,Georgia,74.4,24.4,7.25
11.7,Carroll County Georgia,31.4,1005.0,3853.0,4858.0,Carroll County,Georgia,75.36,25.7,7.25
8.8,Cherokee County Georgia,27.9,576.0,2933.0,3509.0,Cherokee County,Georgia,79.14,20.1,7.25
11.6,Clay County Georgia,33.6,7271.0,28894.0,36165.0,Clay County,Georgia,74.19,27.7,7.25
11.6,Clay County Georgia,33.6,244.0,842.0,1086.0,Clay County,Georgia,74.19,27.7,7.25
11.6,Clay County Georgia,33.6,872.0,13661.0,14533.0,Clay County,Georgia,74.19,27.7,7.25
13.5,Clayton County Georgia,36.1,604.0,5843.0,6447.0,Clayton County,Georgia,76.64,22.2,7.25
11.7,Cook County Georgia,31.7,957.0,2667.0,3624.0,Cook County,Georgia,74.29,29.7,7.25
11.4,Crawford County Georgia,30.7,19232.0,104847.0,124079.0,Crawford County,Georgia,76.6,25.9,7.25
11.4,Crawford County Georgia,30.7,3379.0,15801.0,19180.0,Crawford County,Georgia,76.6,25.9,7.25
11.4,Crawford County Georgia,30.7,849.0,3824.0,4673.0,Crawford County,Georgia,76.6,25.9,7.25
12.4,Decatur County Georgia,31.7,987.0,4822.0,5809.0,Decatur County,Georgia,74.43,25.3,7.25
12.4,Decatur County Georgia,31.7,1015.0,2848.0,3863.0,Decatur County,Georgia,74.43,25.3,7.25
11.2,Douglas County Georgia,34.6,343.0,1357.0,1700.0,Douglas County,Georgia,76.75,23.3,7.25
9.6,Effingham County Georgia,31,4567.0,28764.0,33331.0,Effingham County,Georgia,76.86,23.9,7.25
8.2,Fayette County Georgia,25,1031.0,3998.0,5029.0,Fayette County,Georgia,80.82,16.9,7.25
8.2,Fayette County Georgia,25,1986.0,7938.0,9924.0,Fayette County,Georgia,80.82,16.9,7.25
11.8,Floyd County Georgia,27.4,805.0,2871.0,3676.0,Floyd County,Georgia,75.81,26.3,7.25
12.7,Franklin County Georgia,26.5,2657.0,8161.0,10818.0,Franklin County,Georgia,75.12,25.5,7.25
12.7,Franklin County Georgia,26.5,737.0,2326.0,3063.0,Franklin County,Georgia,75.12,25.5,7.25
10.5,Fulton County Georgia,22.9,569.0,4325.0,4894.0,Fulton County,Georgia,76.99,16.6,7.25
13.2,Greene County Georgia,31.9,3114.0,10804.0,13918.0,Greene County,Georgia,76.43,23.9,7.25
10.3,Henry County Georgia,28.5,671.0,4843.0,5514.0,Henry County,Georgia,77.32,21.1,7.25
10.3,Henry County Georgia,28.5,7012.0,43073.0,50085.0,Henry County,Georgia,77.32,21.1,7.25
10.5,Jackson County Georgia,26.4,40630.0,195311.0,235941.0,Jackson County,Georgia,75.76,22.8,7.25
10.5,Jackson County Georgia,26.4,905.0,2798.0,3703.0,Jackson County,Georgia,75.76,22.8,7.25
11.7,Jasper County Georgia,29.8,2082.0,7198.0,9280.0,Jasper County,Georgia,76.17,25.4,7.25
14.1,Jefferson County Georgia,37.8,1184.0,4472.0,5656.0,Jefferson County,Georgia,73.24,26.1,7.25
14.1,Jefferson County Georgia,37.8,917.0,5266.0,6183.0,Jefferson County,Georgia,73.24,26.1,7.25
10.8,Johnson County Georgia,32.5,2129.0,5337.0,7466.0,Johnson County,Georgia,75.81,27.1,7.25
10.8,Johnson County Georgia,32.5,438.0,5195.0,5633.0,Johnson County,Georgia,75.81,27.1,7.25
10.8,Johnson County Georgia,32.5,4622.0,18919.0,23541.0,Johnson County,Georgia,75.81,27.1,7.25
11.5,Lincoln County Georgia,35.4,5744.0,18460.0,24204.0,Lincoln County,Georgia,75.72,25.8,7.25
10.2,Monroe County Georgia,32.6,7485.0,26797.0,34282.0,Monroe County,Georgia,76.94,24.1,7.25
12.0,Montgomery County Georgia,32.7,1218.0,7622.0,8840.0,Montgomery County,Georgia,75.82,23.6,7.25
10.4,Morgan County Georgia,31.5,4107.0,26659.0,30766.0,Morgan County,Georgia,77.31,22.2,7.25
12.7,Newton County Georgia,31.7,1128.0,4120.0,5248.0,Newton County,Georgia,75.97,23.8,7.25
10.7,Pike County Georgia,31.3,1680.0,7032.0,8712.0,Pike County,Georgia,76.01,23.7,7.25
12.0,Polk County Georgia,26.4,3867.0,14855.0,18722.0,Polk County,Georgia,73.83,27.7,7.25
