Percent Obese,CountyState
28.9,Johnson County Illinois
26.9,Kane County Illinois
32.8,Kankakee County Illinois
28.1,Kendall County Illinois
32.4,Knox County Illinois
25.2,Lake County Illinois
29.4,LaSalle County Illinois
30.9,Lawrence County Illinois
26.5,Lee County Illinois
30.8,Livingston County Illinois
32.5,Logan County Illinois
29.4,McDonough County Illinois
26.8,McHenry County Illinois
31.6,McLean County Illinois
32.1,Macon County Illinois
29.9,Macoupin County Illinois
32,Madison County Illinois
32.7,Marion County Illinois
29.8,Marshall County Illinois
31.6,Mason County Illinois
33.8,Massac County Illinois
28.9,Menard County Illinois
32.4,Mercer County Illinois
29.3,Monroe County Illinois
24.9,Montgomery County Illinois
29.9,Morgan County Illinois
29.7,Moultrie County Illinois
27.6,Ogle County Illinois
27,Peoria County Illinois
28.4,Perry County Illinois
30.1,Piatt County Illinois
29,Pike County Illinois
30.7,Pope County Illinois
33.3,Pulaski County Illinois
28.8,Putnam County Illinois
31.1,Randolph County Illinois
30.1,Richland County Illinois
27.3,Rock Island County Illinois
29.7,St. Clair County Illinois
30.4,Saline County Illinois
30.6,Sangamon County Illinois
29.1,Schuyler County Illinois
29.2,Scott County Illinois
29.8,Shelby County Illinois
31.8,Stark County Illinois
27.7,Stephenson County Illinois
26.8,Tazewell County Illinois
31,Union County Illinois
29.6,Vermilion County Illinois
29.9,Wabash County Illinois
30.4,Warren County Illinois
32,Washington County Illinois
29,Wayne County Illinois
30.6,White County Illinois
28.2,Whiteside County Illinois
33,Will County Illinois
30.2,Williamson County Illinois
29.1,Winnebago County Illinois
30.3,Woodford County Illinois
30.4,Adams County Indiana
32.2,Allen County Indiana
32,Bartholomew County Indiana
32.8,Benton County Indiana
33.5,Blackford County Indiana
27.8,Boone County Indiana
29.4,Brown County Indiana
33.6,Carroll County Indiana
34.5,Cass County Indiana
31.8,Clark County Indiana
37.8,Clay County Indiana
29.4,Clinton County Indiana
38.4,Crawford County Indiana
31.4,Daviess County Indiana
33.9,Dearborn County Indiana
28.6,Decatur County Indiana
29,DeKalb County Indiana
33.2,Delaware County Indiana
34.1,Dubois County Indiana
29.5,Elkhart County Indiana
34.4,Fayette County Indiana
29.5,Floyd County Indiana
30.6,Fountain County Indiana
28.6,Franklin County Indiana
31.6,Fulton County Indiana
29.2,Gibson County Indiana
31.7,Grant County Indiana
33.1,Greene County Indiana
22,Hamilton County Indiana
28.8,Hancock County Indiana
31,Harrison County Indiana
31.8,Hendricks County Indiana
29.7,Henry County Indiana
37.8,Howard County Indiana
34.8,Huntington County Indiana
31.6,Jackson County Indiana
33.5,Jasper County Indiana
34.6,Jay County Indiana
31.8,Jefferson County Indiana
28.4,Jennings County Indiana
29.1,Johnson County Indiana
33.1,Knox County Indiana
30.8,Kosciusko County Indiana
32.7,LaGrange County Indiana
35.9,Lake County Indiana
31.8,LaPorte County Indiana
29.3,Lawrence County Indiana
37.3,Madison County Indiana
31.9,Marion County Indiana
31.4,Marshall County Indiana
29.1,Martin County Indiana
33,Miami County Indiana
25.3,Monroe County Indiana
31.2,Montgomery County Indiana
33.2,Morgan County Indiana
34.1,Newton County Indiana
33.9,Noble County Indiana
30.8,Ohio County Indiana
31.2,Orange County Indiana
36.8,Owen County Indiana
29.3,Parke County Indiana
32.1,Perry County Indiana
31.5,Pike County Indiana
29.3,Porter County Indiana
31.6,Posey County Indiana
34.5,Pulaski County Indiana
32.3,Putnam County Indiana
34.8,Randolph County Indiana
31.8,Ripley County Indiana
32.4,Rush County Indiana
28.7,St. Joseph County Indiana
28.5,Scott County Indiana
33.8,Shelby County Indiana
30.4,Spencer County Indiana
35,Starke County Indiana
32.7,Steuben County Indiana
31.5,Sullivan County Indiana
27.9,Switzerland County Indiana
27.1,Tippecanoe County Indiana
32.1,Tipton County Indiana
33.2,Union County Indiana
32.4,Vanderburgh County Indiana
28.3,Vermillion County Indiana
