County,Percent Smokers,State Ab,State,CountyState
Moniteau County,27.9, Missouri, Missouri,Moniteau County  Missouri
Monroe County,27.6, Missouri, Missouri,Monroe County  Missouri
Montgomery County,29.9, Missouri, Missouri,Montgomery County  Missouri
Morgan County,30.6, Missouri, Missouri,Morgan County  Missouri
New Madrid County,31.4, Missouri, Missouri,New Madrid County  Missouri
Newton County,26.6, Missouri, Missouri,Newton County  Missouri
Nodaway County,23.2, Missouri, Missouri,Nodaway County  Missouri
Oregon County,30.4, Missouri, Missouri,Oregon County  Missouri
Osage County,25.0, Missouri, Missouri,Osage County  Missouri
Ozark County,30.6, Missouri, Missouri,Ozark County  Missouri
Pemiscot County,33.4, Missouri, Missouri,Pemiscot County  Missouri
Perry County,28.1, Missouri, Missouri,Perry County  Missouri
Pettis County,28.8, Missouri, Missouri,Pettis County  Missouri
Phelps County,25.2, Missouri, Missouri,Phelps County  Missouri
Pike County,31.6, Missouri, Missouri,Pike County  Missouri
Platte County,20.8, Missouri, Missouri,Platte County  Missouri
Polk County,26.1, Missouri, Missouri,Polk County  Missouri
Pulaski County,26.4, Missouri, Missouri,Pulaski County  Missouri
Putnam County,26.4, Missouri, Missouri,Putnam County  Missouri
Ralls County,25.7, Missouri, Missouri,Ralls County  Missouri
Randolph County,31.0, Missouri, Missouri,Randolph County  Missouri
Ray County,29.6, Missouri, Missouri,Ray County  Missouri
Reynolds County,31.8, Missouri, Missouri,Reynolds County  Missouri
Ripley County,32.4, Missouri, Missouri,Ripley County  Missouri
Saline County,28.6, Missouri, Missouri,Saline County  Missouri
Schuyler County,29.8, Missouri, Missouri,Schuyler County  Missouri
Scotland County,25.5, Missouri, Missouri,Scotland County  Missouri
Scott County,29.6, Missouri, Missouri,Scott County  Missouri
Shannon County,28.2, Missouri, Missouri,Shannon County  Missouri
Shelby County,26.2, Missouri, Missouri,Shelby County  Missouri
St. Charles County,20.3, Missouri, Missouri,St. Charles County  Missouri
St. Clair County,28.6, Missouri, Missouri,St. Clair County  Missouri
St. Francois County,30.5, Missouri, Missouri,St. Francois County  Missouri
St. Louis City,30.2, Missouri, Missouri,St. Louis City  Missouri
St. Louis County,21.9, Missouri, Missouri,St. Louis County  Missouri
Ste. Genevieve County,27.6, Missouri, Missouri,Ste. Genevieve County  Missouri
Stoddard County,30.9, Missouri, Missouri,Stoddard County  Missouri
Stone County,28.1, Missouri, Missouri,Stone County  Missouri
Sullivan County,27.2, Missouri, Missouri,Sullivan County  Missouri
Taney County,28.0, Missouri, Missouri,Taney County  Missouri
Texas County,30.4, Missouri, Missouri,Texas County  Missouri
Vernon County,30.0, Missouri, Missouri,Vernon County  Missouri
Warren County,27.7, Missouri, Missouri,Warren County  Missouri
Washington County,33.6, Missouri, Missouri,Washington County  Missouri
Wayne County,31.8, Missouri, Missouri,Wayne County  Missouri
Webster County,27.2, Missouri, Missouri,Webster County  Missouri
Worth County,24.4, Missouri, Missouri,Worth County  Missouri
Wright County,29.3, Missouri, Missouri,Wright County  Missouri
Beaverhead County,19.7, Montana, Montana,Beaverhead County  Montana
Big Horn County,31.4, Montana, Montana,Big Horn County  Montana
Blaine County,28.2, Montana, Montana,Blaine County  Montana
Broadwater County,23.0, Montana, Montana,Broadwater County  Montana
Carbon County,19.7, Montana, Montana,Carbon County  Montana
Carter County,23.4, Montana, Montana,Carter County  Montana
Cascade County,22.6, Montana, Montana,Cascade County  Montana
Chouteau County,22.7, Montana, Montana,Chouteau County  Montana
Custer County,23.9, Montana, Montana,Custer County  Montana
Daniels County,20.6, Montana, Montana,Daniels County  Montana
Dawson County,23.0, Montana, Montana,Dawson County  Montana
Deer Lodge County,27.0, Montana, Montana,Deer Lodge County  Montana
Fallon County,22.0, Montana, Montana,Fallon County  Montana
Fergus County,22.8, Montana, Montana,Fergus County  Montana
Flathead County,19.8, Montana, Montana,Flathead County  Montana
Gallatin County,14.2, Montana, Montana,Gallatin County  Montana
Garfield County,23.5, Montana, Montana,Garfield County  Montana
Glacier County,30.9, Montana, Montana,Glacier County  Montana
Golden Valley County,20.5, Montana, Montana,Golden Valley County  Montana
Granite County,21.4, Montana, Montana,Granite County  Montana
Hill County,26.9, Montana, Montana,Hill County  Montana
Jefferson County,18.4, Montana, Montana,Jefferson County  Montana
Judith Basin County,18.1, Montana, Montana,Judith Basin County  Montana
Lake County,25.3, Montana, Montana,Lake County  Montana
Lewis and Clark County,18.7, Montana, Montana,Lewis and Clark County  Montana
Liberty County,24.7, Montana, Montana,Liberty County  Montana
Lincoln County,22.2, Montana, Montana,Lincoln County  Montana
Madison County,17.8, Montana, Montana,Madison County  Montana
McCone County,20.6, Montana, Montana,McCone County  Montana
Meagher County,25.9, Montana, Montana,Meagher County  Montana
Mineral County,26.2, Montana, Montana,Mineral County  Montana
Missoula County,18.7, Montana, Montana,Missoula County  Montana
Musselshell County,24.3, Montana, Montana,Musselshell County  Montana
Park County,18.9, Montana, Montana,Park County  Montana
Petroleum County,20.9, Montana, Montana,Petroleum County  Montana
Phillips County,24.6, Montana, Montana,Phillips County  Montana
Pondera County,24.6, Montana, Montana,Pondera County  Montana
Powder River County,21.9, Montana, Montana,Powder River County  Montana
Powell County,25.7, Montana, Montana,Powell County  Montana
Prairie County,21.6, Montana, Montana,Prairie County  Montana
Ravalli County,21.5, Montana, Montana,Ravalli County  Montana
Richland County,25.4, Montana, Montana,Richland County  Montana
Roosevelt County,33.6, Montana, Montana,Roosevelt County  Montana
Rosebud County,24.7, Montana, Montana,Rosebud County  Montana
Sanders County,24.0, Montana, Montana,Sanders County  Montana
Sheridan County,22.7, Montana, Montana,Sheridan County  Montana
Silver Bow County,27.5, Montana, Montana,Silver Bow County  Montana
Stillwater County,20.9, Montana, Montana,Stillwater County  Montana
Sweet Grass County,20.1, Montana, Montana,Sweet Grass County  Montana
Teton County,19.1, Montana, Montana,Teton County  Montana
Toole County,26.1, Montana, Montana,Toole County  Montana
Treasure County,21.5, Montana, Montana,Treasure County  Montana
Valley County,25.6, Montana, Montana,Valley County  Montana
Wheatland County,23.1, Montana, Montana,Wheatland County  Montana
Wibaux County,21.4, Montana, Montana,Wibaux County  Montana
Yellowstone County,22.6, Montana, Montana,Yellowstone County  Montana
Adams County,21.1, Nebraska, Nebraska,Adams County  Nebraska
Antelope County,22.2, Nebraska, Nebraska,Antelope County  Nebraska
Arthur County,18.2, Nebraska, Nebraska,Arthur County  Nebraska
Banner County,19.0, Nebraska, Nebraska,Banner County  Nebraska
Blaine County,22.4, Nebraska, Nebraska,Blaine County  Nebraska
Boone County,21.4, Nebraska, Nebraska,Boone County  Nebraska
Box Butte County,24.0, Nebraska, Nebraska,Box Butte County  Nebraska
Boyd County,23.5, Nebraska, Nebraska,Boyd County  Nebraska
Brown County,23.1, Nebraska, Nebraska,Brown County  Nebraska
Buffalo County,18.7, Nebraska, Nebraska,Buffalo County  Nebraska
Burt County,22.0, Nebraska, Nebraska,Burt County  Nebraska
Butler County,23.4, Nebraska, Nebraska,Butler County  Nebraska
Cass County,21.6, Nebraska, Nebraska,Cass County  Nebraska
Cedar County,22.3, Nebraska, Nebraska,Cedar County  Nebraska
Chase County,22.0, Nebraska, Nebraska,Chase County  Nebraska
Cherry County,22.9, Nebraska, Nebraska,Cherry County  Nebraska
Cheyenne County,21.3, Nebraska, Nebraska,Cheyenne County  Nebraska
Clay County,21.6, Nebraska, Nebraska,Clay County  Nebraska
Colfax County,22.7, Nebraska, Nebraska,Colfax County  Nebraska
Cuming County,22.5, Nebraska, Nebraska,Cuming County  Nebraska
Custer County,21.6, Nebraska, Nebraska,Custer County  Nebraska
Dakota County,24.6, Nebraska, Nebraska,Dakota County  Nebraska
Dawes County,19.0, Nebraska, Nebraska,Dawes County  Nebraska
Dawson County,22.8, Nebraska, Nebraska,Dawson County  Nebraska
Deuel County,23.0, Nebraska, Nebraska,Deuel County  Nebraska
Dixon County,22.0, Nebraska, Nebraska,Dixon County  Nebraska
Dodge County,25.2, Nebraska, Nebraska,Dodge County  Nebraska
Douglas County,22.1, Nebraska, Nebraska,Douglas County  Nebraska
Dundy County,20.3, Nebraska, Nebraska,Dundy County  Nebraska
Fillmore County,20.6, Nebraska, Nebraska,Fillmore County  Nebraska
Franklin County,23.3, Nebraska, Nebraska,Franklin County  Nebraska
Frontier County,20.6, Nebraska, Nebraska,Frontier County  Nebraska
Furnas County,22.7, Nebraska, Nebraska,Furnas County  Nebraska
Gage County,23.0, Nebraska, Nebraska,Gage County  Nebraska
Garden County,21.8, Nebraska, Nebraska,Garden County  Nebraska
Garfield County,24.6, Nebraska, Nebraska,Garfield County  Nebraska
Gosper County,21.3, Nebraska, Nebraska,Gosper County  Nebraska
Grant County,20.7, Nebraska, Nebraska,Grant County  Nebraska
Greeley County,23.0, Nebraska, Nebraska,Greeley County  Nebraska
Hall County,21.5, Nebraska, Nebraska,Hall County  Nebraska
Hamilton County,20.8, Nebraska, Nebraska,Hamilton County  Nebraska
Harlan County,22.6, Nebraska, Nebraska,Harlan County  Nebraska
Hayes County,21.7, Nebraska, Nebraska,Hayes County  Nebraska
Hitchcock County,24.5, Nebraska, Nebraska,Hitchcock County  Nebraska
Holt County,23.4, Nebraska, Nebraska,Holt County  Nebraska
Hooker County,18.0, Nebraska, Nebraska,Hooker County  Nebraska
Howard County,21.9, Nebraska, Nebraska,Howard County  Nebraska
Jefferson County,25.9, Nebraska, Nebraska,Jefferson County  Nebraska
Johnson County,25.4, Nebraska, Nebraska,Johnson County  Nebraska
Kearney County,19.7, Nebraska, Nebraska,Kearney County  Nebraska
Keith County,22.2, Nebraska, Nebraska,Keith County  Nebraska
Keya Paha County,22.7, Nebraska, Nebraska,Keya Paha County  Nebraska
Kimball County,23.2, Nebraska, Nebraska,Kimball County  Nebraska
Knox County,22.9, Nebraska, Nebraska,Knox County  Nebraska
Lancaster County,19.8, Nebraska, Nebraska,Lancaster County  Nebraska
Lincoln County,23.1, Nebraska, Nebraska,Lincoln County  Nebraska
Logan County,21.5, Nebraska, Nebraska,Logan County  Nebraska
Loup County,24.9, Nebraska, Nebraska,Loup County  Nebraska
Madison County,20.3, Nebraska, Nebraska,Madison County  Nebraska
McPherson County,17.5, Nebraska, Nebraska,McPherson County  Nebraska
Merrick County,23.2, Nebraska, Nebraska,Merrick County  Nebraska
Morrill County,20.9, Nebraska, Nebraska,Morrill County  Nebraska
Nance County,24.3, Nebraska, Nebraska,Nance County  Nebraska
Nemaha County,21.9, Nebraska, Nebraska,Nemaha County  Nebraska
Nuckolls County,24.0, Nebraska, Nebraska,Nuckolls County  Nebraska
Otoe County,22.3, Nebraska, Nebraska,Otoe County  Nebraska
Pawnee County,23.5, Nebraska, Nebraska,Pawnee County  Nebraska
Perkins County,21.5, Nebraska, Nebraska,Perkins County  Nebraska
Phelps County,22.1, Nebraska, Nebraska,Phelps County  Nebraska
Pierce County,21.1, Nebraska, Nebraska,Pierce County  Nebraska
Platte County,20.3, Nebraska, Nebraska,Platte County  Nebraska
Polk County,20.0, Nebraska, Nebraska,Polk County  Nebraska
Red Willow County,22.3, Nebraska, Nebraska,Red Willow County  Nebraska
Richardson County,26.2, Nebraska, Nebraska,Richardson County  Nebraska
Rock County,22.1, Nebraska, Nebraska,Rock County  Nebraska
Saline County,21.1, Nebraska, Nebraska,Saline County  Nebraska
Sarpy County,18.9, Nebraska, Nebraska,Sarpy County  Nebraska
Saunders County,21.7, Nebraska, Nebraska,Saunders County  Nebraska
Scotts Bluff County,22.2, Nebraska, Nebraska,Scotts Bluff County  Nebraska
Seward County,17.0, Nebraska, Nebraska,Seward County  Nebraska
Sheridan County,23.3, Nebraska, Nebraska,Sheridan County  Nebraska
Sherman County,23.7, Nebraska, Nebraska,Sherman County  Nebraska
Sioux County,18.9, Nebraska, Nebraska,Sioux County  Nebraska
Stanton County,20.5, Nebraska, Nebraska,Stanton County  Nebraska
Thayer County,22.0, Nebraska, Nebraska,Thayer County  Nebraska
Thomas County,20.6, Nebraska, Nebraska,Thomas County  Nebraska
Thurston County,30.5, Nebraska, Nebraska,Thurston County  Nebraska
Valley County,21.6, Nebraska, Nebraska,Valley County  Nebraska
Washington County,19.1, Nebraska, Nebraska,Washington County  Nebraska
Wayne County,18.3, Nebraska, Nebraska,Wayne County  Nebraska
Webster County,22.6, Nebraska, Nebraska,Webster County  Nebraska
Wheeler County,19.7, Nebraska, Nebraska,Wheeler County  Nebraska
York County,20.4, Nebraska, Nebraska,York County  Nebraska
Carson City,26.8, Nevada, Nevada,Carson City  Nevada
Churchill County,25.7, Nevada, Nevada,Churchill County  Nevada
Clark County,25.0, Nevada, Nevada,Clark County  Nevada
Douglas County,22.3, Nevada, Nevada,Douglas County  Nevada
Elko County,23.1, Nevada, Nevada,Elko County  Nevada
Esmeralda County,27.8, Nevada, Nevada,Esmeralda County  Nevada
Eureka County,22.7, Nevada, Nevada,Eureka County  Nevada
Humboldt County,24.1, Nevada, Nevada,Humboldt County  Nevada
Lander County,26.6, Nevada, Nevada,Lander County  Nevada
Lincoln County,23.0, Nevada, Nevada,Lincoln County  Nevada
Lyon County,29.1, Nevada, Nevada,Lyon County  Nevada
Mineral County,33.6, Nevada, Nevada,Mineral County  Nevada
Nye County,32.8, Nevada, Nevada,Nye County  Nevada
Pershing County,25.5, Nevada, Nevada,Pershing County  Nevada
Storey County,26.0, Nevada, Nevada,Storey County  Nevada
Washoe County,22.3, Nevada, Nevada,Washoe County  Nevada
White Pine County,27.5, Nevada, Nevada,White Pine County  Nevada
Belknap County,22.5, New Hampshire, New Hampshire,Belknap County  New Hampshire
Carroll County,21.3, New Hampshire, New Hampshire,Carroll County  New Hampshire
Cheshire County,21.0, New Hampshire, New Hampshire,Cheshire County  New Hampshire
Coos County,24.1, New Hampshire, New Hampshire,Coos County  New Hampshire
Grafton County,17.8, New Hampshire, New Hampshire,Grafton County  New Hampshire
Hillsborough County,19.0, New Hampshire, New Hampshire,Hillsborough County  New Hampshire
Merrimack County,18.5, New Hampshire, New Hampshire,Merrimack County  New Hampshire
Rockingham County,17.7, New Hampshire, New Hampshire,Rockingham County  New Hampshire
Strafford County,20.7, New Hampshire, New Hampshire,Strafford County  New Hampshire
Sullivan County,20.7, New Hampshire, New Hampshire,Sullivan County  New Hampshire
Atlantic County,23.2, New Jersey, New Jersey,Atlantic County  New Jersey
Bergen County,16.4, New Jersey, New Jersey,Bergen County  New Jersey
Burlington County,18.9, New Jersey, New Jersey,Burlington County  New Jersey
Camden County,21.8, New Jersey, New Jersey,Camden County  New Jersey
Cape May County,22.9, New Jersey, New Jersey,Cape May County  New Jersey
Cumberland County,25.5, New Jersey, New Jersey,Cumberland County  New Jersey
Essex County,19.4, New Jersey, New Jersey,Essex County  New Jersey
Gloucester County,21.4, New Jersey, New Jersey,Gloucester County  New Jersey
Hudson County,18.2, New Jersey, New Jersey,Hudson County  New Jersey
Hunterdon County,15.5, New Jersey, New Jersey,Hunterdon County  New Jersey
Mercer County,18.0, New Jersey, New Jersey,Mercer County  New Jersey
Middlesex County,15.7, New Jersey, New Jersey,Middlesex County  New Jersey
Monmouth County,18.0, New Jersey, New Jersey,Monmouth County  New Jersey
Morris County,14.6, New Jersey, New Jersey,Morris County  New Jersey
Ocean County,20.9, New Jersey, New Jersey,Ocean County  New Jersey
Passaic County,18.6, New Jersey, New Jersey,Passaic County  New Jersey
Salem County,23.7, New Jersey, New Jersey,Salem County  New Jersey
Somerset County,12.8, New Jersey, New Jersey,Somerset County  New Jersey
Sussex County,19.2, New Jersey, New Jersey,Sussex County  New Jersey
Union County,18.3, New Jersey, New Jersey,Union County  New Jersey
Warren County,21.6, New Jersey, New Jersey,Warren County  New Jersey
Bernalillo County,21.6, New Mexico, New Mexico,Bernalillo County  New Mexico
Catron County,23.3, New Mexico, New Mexico,Catron County  New Mexico
Chaves County,24.8, New Mexico, New Mexico,Chaves County  New Mexico
Cibola County,26.3, New Mexico, New Mexico,Cibola County  New Mexico
Colfax County,21.9, New Mexico, New Mexico,Colfax County  New Mexico
Curry County,24.3, New Mexico, New Mexico,Curry County  New Mexico
De Baca County,22.2, New Mexico, New Mexico,De Baca County  New Mexico
Dona Ana County,18.8, New Mexico, New Mexico,Dona Ana County  New Mexico
Eddy County,25.4, New Mexico, New Mexico,Eddy County  New Mexico
Grant County,22.2, New Mexico, New Mexico,Grant County  New Mexico
Guadalupe County,23.2, New Mexico, New Mexico,Guadalupe County  New Mexico
Harding County,20.6, New Mexico, New Mexico,Harding County  New Mexico
Hidalgo County,23.2, New Mexico, New Mexico,Hidalgo County  New Mexico
Lea County,25.2, New Mexico, New Mexico,Lea County  New Mexico
Lincoln County,24.8, New Mexico, New Mexico,Lincoln County  New Mexico
Los Alamos County,13.0, New Mexico, New Mexico,Los Alamos County  New Mexico
Luna County,25.3, New Mexico, New Mexico,Luna County  New Mexico
McKinley County,21.7, New Mexico, New Mexico,McKinley County  New Mexico
Mora County,20.5, New Mexico, New Mexico,Mora County  New Mexico
Otero County,25.2, New Mexico, New Mexico,Otero County  New Mexico
Quay County,24.7, New Mexico, New Mexico,Quay County  New Mexico
Rio Arriba County,22.7, New Mexico, New Mexico,Rio Arriba County  New Mexico
Roosevelt County,24.4, New Mexico, New Mexico,Roosevelt County  New Mexico
San Juan County,26.5, New Mexico, New Mexico,San Juan County  New Mexico
San Miguel County,23.2, New Mexico, New Mexico,San Miguel County  New Mexico
Sandoval County,20.4, New Mexico, New Mexico,Sandoval County  New Mexico
Santa Fe County,19.3, New Mexico, New Mexico,Santa Fe County  New Mexico
Sierra County,28.1, New Mexico, New Mexico,Sierra County  New Mexico
Socorro County,26.4, New Mexico, New Mexico,Socorro County  New Mexico
Taos County,20.6, New Mexico, New Mexico,Taos County  New Mexico
Torrance County,28.6, New Mexico, New Mexico,Torrance County  New Mexico
Union County,23.5, New Mexico, New Mexico,Union County  New Mexico
Valencia County,26.3, New Mexico, New Mexico,Valencia County  New Mexico
Albany County,20.0, New York, New York,Albany County  New York
Allegany County,23.3, New York, New York,Allegany County  New York
Bronx County,20.9, New York, New York,Bronx County  New York
Broome County,22.0, New York, New York,Broome County  New York
Cattaraugus County,26.1, New York, New York,Cattaraugus County  New York
Cayuga County,25.6, New York, New York,Cayuga County  New York
Chautauqua County,26.2, New York, New York,Chautauqua County  New York
Chemung County,24.0, New York, New York,Chemung County  New York
Chenango County,24.6, New York, New York,Chenango County  New York
Clinton County,21.0, New York, New York,Clinton County  New York
Columbia County,21.3, New York, New York,Columbia County  New York
Cortland County,23.2, New York, New York,Cortland County  New York
Delaware County,23.5, New York, New York,Delaware County  New York
Dutchess County,18.8, New York, New York,Dutchess County  New York
Erie County,21.6, New York, New York,Erie County  New York
Essex County,20.0, New York, New York,Essex County  New York
Franklin County,24.4, New York, New York,Franklin County  New York
Fulton County,25.8, New York, New York,Fulton County  New York
Genesee County,23.4, New York, New York,Genesee County  New York
Greene County,25.1, New York, New York,Greene County  New York
Hamilton County,20.0, New York, New York,Hamilton County  New York
Herkimer County,22.3, New York, New York,Herkimer County  New York
Jefferson County,23.2, New York, New York,Jefferson County  New York
Kings County,18.9, New York, New York,Kings County  New York
Lewis County,25.1, New York, New York,Lewis County  New York
Livingston County,21.7, New York, New York,Livingston County  New York
Madison County,22.7, New York, New York,Madison County  New York
Monroe County,19.1, New York, New York,Monroe County  New York
Montgomery County,25.5, New York, New York,Montgomery County  New York
Nassau County,15.5, New York, New York,Nassau County  New York
New York County,15.9, New York, New York,New York County  New York
Niagara County,25.8, New York, New York,Niagara County  New York
Oneida County,24.2, New York, New York,Oneida County  New York
Onondaga County,21.2, New York, New York,Onondaga County  New York
Ontario County,19.4, New York, New York,Ontario County  New York
Orange County,20.3, New York, New York,Orange County  New York
Orleans County,26.5, New York, New York,Orleans County  New York
Oswego County,26.0, New York, New York,Oswego County  New York
Otsego County,21.4, New York, New York,Otsego County  New York
Putnam County,16.7, New York, New York,Putnam County  New York
Queens County,17.4, New York, New York,Queens County  New York
Rensselaer County,22.0, New York, New York,Rensselaer County  New York
Richmond County,20.4, New York, New York,Richmond County  New York
Rockland County,16.1, New York, New York,Rockland County  New York
Saratoga County,19.2, New York, New York,Saratoga County  New York
Schenectady County,22.4, New York, New York,Schenectady County  New York
Schoharie County,23.5, New York, New York,Schoharie County  New York
Schuyler County,24.1, New York, New York,Schuyler County  New York
Seneca County,24.6, New York, New York,Seneca County  New York
St. Lawrence County,24.0, New York, New York,St. Lawrence County  New York
Steuben County,24.1, New York, New York,Steuben County  New York
Suffolk County,19.0, New York, New York,Suffolk County  New York
Sullivan County,25.1, New York, New York,Sullivan County  New York
Tioga County,20.9, New York, New York,Tioga County  New York
Tompkins County,14.2, New York, New York,Tompkins County  New York
Ulster County,22.0, New York, New York,Ulster County  New York
Warren County,23.1, New York, New York,Warren County  New York
Washington County,24.8, New York, New York,Washington County  New York
Wayne County,23.0, New York, New York,Wayne County  New York
Westchester County,16.0, New York, New York,Westchester County  New York
Wyoming County,24.6, New York, New York,Wyoming County  New York
Yates County,22.9, New York, New York,Yates County  New York
Alamance County,24.8, North Carolina, North Carolina,Alamance County  North Carolina
Alexander County,26.1, North Carolina, North Carolina,Alexander County  North Carolina
Alleghany County,27.2, North Carolina, North Carolina,Alleghany County  North Carolina
Anson County,27.0, North Carolina, North Carolina,Anson County  North Carolina
Ashe County,26.1, North Carolina, North Carolina,Ashe County  North Carolina
Avery County,24.0, North Carolina, North Carolina,Avery County  North Carolina
Beaufort County,23.3, North Carolina, North Carolina,Beaufort County  North Carolina
Bertie County,25.9, North Carolina, North Carolina,Bertie County  North Carolina
Bladen County,26.1, North Carolina, North Carolina,Bladen County  North Carolina
Brunswick County,26.0, North Carolina, North Carolina,Brunswick County  North Carolina
Buncombe County,22.1, North Carolina, North Carolina,Buncombe County  North Carolina
Burke County,26.1, North Carolina, North Carolina,Burke County  North Carolina
Cabarrus County,22.6, North Carolina, North Carolina,Cabarrus County  North Carolina
Caldwell County,28.5, North Carolina, North Carolina,Caldwell County  North Carolina
Camden County,22.4, North Carolina, North Carolina,Camden County  North Carolina
Carteret County,24.4, North Carolina, North Carolina,Carteret County  North Carolina
Caswell County,27.0, North Carolina, North Carolina,Caswell County  North Carolina
Catawba County,23.6, North Carolina, North Carolina,Catawba County  North Carolina
Chatham County,19.0, North Carolina, North Carolina,Chatham County  North Carolina
Cherokee County,26.6, North Carolina, North Carolina,Cherokee County  North Carolina
Chowan County,25.4, North Carolina, North Carolina,Chowan County  North Carolina
Clay County,24.5, North Carolina, North Carolina,Clay County  North Carolina
Cleveland County,26.9, North Carolina, North Carolina,Cleveland County  North Carolina
Columbus County,27.1, North Carolina, North Carolina,Columbus County  North Carolina
Craven County,22.8, North Carolina, North Carolina,Craven County  North Carolina
Cumberland County,24.2, North Carolina, North Carolina,Cumberland County  North Carolina
Currituck County,24.8, North Carolina, North Carolina,Currituck County  North Carolina
Dare County,23.5, North Carolina, North Carolina,Dare County  North Carolina
Davidson County,26.2, North Carolina, North Carolina,Davidson County  North Carolina
Davie County,23.7, North Carolina, North Carolina,Davie County  North Carolina
Duplin County,26.3, North Carolina, North Carolina,Duplin County  North Carolina
Durham County,17.7, North Carolina, North Carolina,Durham County  North Carolina
Edgecombe County,26.4, North Carolina, North Carolina,Edgecombe County  North Carolina
Forsyth County,23.9, North Carolina, North Carolina,Forsyth County  North Carolina
Franklin County,25.1, North Carolina, North Carolina,Franklin County  North Carolina
Gaston County,27.8, North Carolina, North Carolina,Gaston County  North Carolina
Gates County,25.5, North Carolina, North Carolina,Gates County  North Carolina
Graham County,27.8, North Carolina, North Carolina,Graham County  North Carolina
Granville County,25.8, North Carolina, North Carolina,Granville County  North Carolina
Greene County,23.9, North Carolina, North Carolina,Greene County  North Carolina
Guilford County,21.0, North Carolina, North Carolina,Guilford County  North Carolina
Halifax County,27.1, North Carolina, North Carolina,Halifax County  North Carolina
Harnett County,24.5, North Carolina, North Carolina,Harnett County  North Carolina
Haywood County,26.6, North Carolina, North Carolina,Haywood County  North Carolina
Henderson County,22.0, North Carolina, North Carolina,Henderson County  North Carolina
Hertford County,25.6, North Carolina, North Carolina,Hertford County  North Carolina
Hoke County,23.2, North Carolina, North Carolina,Hoke County  North Carolina
Hyde County,25.7, North Carolina, North Carolina,Hyde County  North Carolina
Iredell County,22.0, North Carolina, North Carolina,Iredell County  North Carolina
Jackson County,24.2, North Carolina, North Carolina,Jackson County  North Carolina
Johnston County,24.2, North Carolina, North Carolina,Johnston County  North Carolina
Jones County,26.5, North Carolina, North Carolina,Jones County  North Carolina
Lee County,24.5, North Carolina, North Carolina,Lee County  North Carolina
Lenoir County,26.0, North Carolina, North Carolina,Lenoir County  North Carolina
Lincoln County,23.2, North Carolina, North Carolina,Lincoln County  North Carolina
Macon County,25.5, North Carolina, North Carolina,Macon County  North Carolina
Madison County,25.9, North Carolina, North Carolina,Madison County  North Carolina
Martin County,24.2, North Carolina, North Carolina,Martin County  North Carolina
McDowell County,27.3, North Carolina, North Carolina,McDowell County  North Carolina
Mecklenburg County,17.6, North Carolina, North Carolina,Mecklenburg County  North Carolina
Mitchell County,26.8, North Carolina, North Carolina,Mitchell County  North Carolina
Montgomery County,25.1, North Carolina, North Carolina,Montgomery County  North Carolina
Moore County,21.2, North Carolina, North Carolina,Moore County  North Carolina
Nash County,24.5, North Carolina, North Carolina,Nash County  North Carolina
New Hanover County,22.0, North Carolina, North Carolina,New Hanover County  North Carolina
Northampton County,27.9, North Carolina, North Carolina,Northampton County  North Carolina
Onslow County,25.4, North Carolina, North Carolina,Onslow County  North Carolina
Orange County,15.3, North Carolina, North Carolina,Orange County  North Carolina
Pamlico County,22.8, North Carolina, North Carolina,Pamlico County  North Carolina
Pasquotank County,25.0, North Carolina, North Carolina,Pasquotank County  North Carolina
Pender County,24.8, North Carolina, North Carolina,Pender County  North Carolina
Perquimans County,23.1, North Carolina, North Carolina,Perquimans County  North Carolina
Person County,25.1, North Carolina, North Carolina,Person County  North Carolina
Pitt County,22.2, North Carolina, North Carolina,Pitt County  North Carolina
Polk County,22.3, North Carolina, North Carolina,Polk County  North Carolina
Randolph County,25.6, North Carolina, North Carolina,Randolph County  North Carolina
Richmond County,27.4, North Carolina, North Carolina,Richmond County  North Carolina
Robeson County,28.7, North Carolina, North Carolina,Robeson County  North Carolina
Rockingham County,27.6, North Carolina, North Carolina,Rockingham County  North Carolina
Rowan County,26.3, North Carolina, North Carolina,Rowan County  North Carolina
Rutherford County,27.4, North Carolina, North Carolina,Rutherford County  North Carolina
Sampson County,24.9, North Carolina, North Carolina,Sampson County  North Carolina
Scotland County,26.5, North Carolina, North Carolina,Scotland County  North Carolina
Stanly County,25.5, North Carolina, North Carolina,Stanly County  North Carolina
Stokes County,29.5, North Carolina, North Carolina,Stokes County  North Carolina
Surry County,27.4, North Carolina, North Carolina,Surry County  North Carolina
Swain County,28.2, North Carolina, North Carolina,Swain County  North Carolina
Transylvania County,22.2, North Carolina, North Carolina,Transylvania County  North Carolina
Tyrrell County,28.4, North Carolina, North Carolina,Tyrrell County  North Carolina
Union County,18.8, North Carolina, North Carolina,Union County  North Carolina
Vance County,29.5, North Carolina, North Carolina,Vance County  North Carolina
Wake County,15.8, North Carolina, North Carolina,Wake County  North Carolina
Warren County,27.4, North Carolina, North Carolina,Warren County  North Carolina
Washington County,24.8, North Carolina, North Carolina,Washington County  North Carolina
Watauga County,18.5, North Carolina, North Carolina,Watauga County  North Carolina
Wayne County,26.0, North Carolina, North Carolina,Wayne County  North Carolina
Wilkes County,28.4, North Carolina, North Carolina,Wilkes County  North Carolina
Wilson County,24.1, North Carolina, North Carolina,Wilson County  North Carolina
Yadkin County,26.9, North Carolina, North Carolina,Yadkin County  North Carolina
