County,Percent Smokers,State Ab,State,CountyState
Poinsett County,32.6, Arkansas, Arkansas,Poinsett County  Arkansas
Polk County,28.7, Arkansas, Arkansas,Polk County  Arkansas
Pope County,24.7, Arkansas, Arkansas,Pope County  Arkansas
Prairie County,26.7, Arkansas, Arkansas,Prairie County  Arkansas
Pulaski County,23.6, Arkansas, Arkansas,Pulaski County  Arkansas
Randolph County,28.3, Arkansas, Arkansas,Randolph County  Arkansas
Saline County,26.6, Arkansas, Arkansas,Saline County  Arkansas
Scott County,29.7, Arkansas, Arkansas,Scott County  Arkansas
Searcy County,29.4, Arkansas, Arkansas,Searcy County  Arkansas
Sebastian County,27.7, Arkansas, Arkansas,Sebastian County  Arkansas
Sevier County,27.7, Arkansas, Arkansas,Sevier County  Arkansas
Sharp County,30.3, Arkansas, Arkansas,Sharp County  Arkansas
St. Francis County,29.6, Arkansas, Arkansas,St. Francis County  Arkansas
Stone County,28.8, Arkansas, Arkansas,Stone County  Arkansas
Union County,27.5, Arkansas, Arkansas,Union County  Arkansas
Van Buren County,29.0, Arkansas, Arkansas,Van Buren County  Arkansas
Washington County,23.1, Arkansas, Arkansas,Washington County  Arkansas
White County,24.2, Arkansas, Arkansas,White County  Arkansas
Woodruff County,29.4, Arkansas, Arkansas,Woodruff County  Arkansas
Yell County,28.0, Arkansas, Arkansas,Yell County  Arkansas
Alameda County,13.9, California, California,Alameda County  California
Alpine County,19.1, California, California,Alpine County  California
Amador County,22.7, California, California,Amador County  California
Butte County,21.1, California, California,Butte County  California
Calaveras County,20.2, California, California,Calaveras County  California
Colusa County,19.8, California, California,Colusa County  California
Contra Costa County,13.9, California, California,Contra Costa County  California
Del Norte County,27.4, California, California,Del Norte County  California
El Dorado County,17.2, California, California,El Dorado County  California
Fresno County,17.3, California, California,Fresno County  California
Glenn County,21.6, California, California,Glenn County  California
Humboldt County,22.8, California, California,Humboldt County  California
Imperial County,16.9, California, California,Imperial County  California
Inyo County,20.8, California, California,Inyo County  California
Kern County,18.6, California, California,Kern County  California
Kings County,17.9, California, California,Kings County  California
Lake County,24.8, California, California,Lake County  California
Lassen County,24.5, California, California,Lassen County  California
Los Angeles County,14.3, California, California,Los Angeles County  California
Madera County,19.9, California, California,Madera County  California
Marin County,12.4, California, California,Marin County  California
Mariposa County,19.3, California, California,Mariposa County  California
Mendocino County,23.7, California, California,Mendocino County  California
Merced County,18.1, California, California,Merced County  California
Modoc County,21.7, California, California,Modoc County  California
Mono County,18.0, California, California,Mono County  California
Monterey County,15.4, California, California,Monterey County  California
Napa County,15.6, California, California,Napa County  California
Nevada County,17.1, California, California,Nevada County  California
Orange County,12.5, California, California,Orange County  California
Placer County,14.9, California, California,Placer County  California
Plumas County,21.2, California, California,Plumas County  California
Riverside County,17.7, California, California,Riverside County  California
Sacramento County,17.5, California, California,Sacramento County  California
San Benito County,15.3, California, California,San Benito County  California
San Bernardino County,18.7, California, California,San Bernardino County  California
San Diego County,14.7, California, California,San Diego County  California
San Francisco County,12.6, California, California,San Francisco County  California
San Joaquin County,19.1, California, California,San Joaquin County  California
San Luis Obispo County,14.1, California, California,San Luis Obispo County  California
San Mateo County,11.7, California, California,San Mateo County  California
Santa Barbara County,13.7, California, California,Santa Barbara County  California
Santa Clara County,11.4, California, California,Santa Clara County  California
Santa Cruz County,13.1, California, California,Santa Cruz County  California
Shasta County,23.6, California, California,Shasta County  California
Sierra County,22.3, California, California,Sierra County  California
Siskiyou County,22.0, California, California,Siskiyou County  California
Solano County,16.7, California, California,Solano County  California
Sonoma County,17.4, California, California,Sonoma County  California
Stanislaus County,19.4, California, California,Stanislaus County  California
Sutter County,19.3, California, California,Sutter County  California
Tehama County,24.6, California, California,Tehama County  California
Trinity County,24.0, California, California,Trinity County  California
Tulare County,17.3, California, California,Tulare County  California
Tuolumne County,23.1, California, California,Tuolumne County  California
Ventura County,14.5, California, California,Ventura County  California
Yolo County,13.7, California, California,Yolo County  California
Yuba County,21.6, California, California,Yuba County  California
Adams County/Boulder County/Broomfield County/Jefferson County/Weld County,18.8, Colorado, Colorado,Adams County/Boulder County/Broomfield County/Jefferson County/Weld County  Colorado
Alamosa County,20.3, Colorado, Colorado,Alamosa County  Colorado
Arapahoe County,18.2, Colorado, Colorado,Arapahoe County  Colorado
Archuleta County,19.5, Colorado, Colorado,Archuleta County  Colorado
Baca County,22.7, Colorado, Colorado,Baca County  Colorado
Bent County,28.9, Colorado, Colorado,Bent County  Colorado
Chaffee County,22.8, Colorado, Colorado,Chaffee County  Colorado
Cheyenne County,21.6, Colorado, Colorado,Cheyenne County  Colorado
Clear Creek County,18.5, Colorado, Colorado,Clear Creek County  Colorado
Conejos County,19.1, Colorado, Colorado,Conejos County  Colorado
Costilla County,22.3, Colorado, Colorado,Costilla County  Colorado
Crowley County,27.6, Colorado, Colorado,Crowley County  Colorado
Custer County,23.0, Colorado, Colorado,Custer County  Colorado
Delta County,23.7, Colorado, Colorado,Delta County  Colorado
Denver County,21.5, Colorado, Colorado,Denver County  Colorado
Dolores County,21.9, Colorado, Colorado,Dolores County  Colorado
Douglas County,11.3, Colorado, Colorado,Douglas County  Colorado
Eagle County,14.0, Colorado, Colorado,Eagle County  Colorado
El Paso County,19.6, Colorado, Colorado,El Paso County  Colorado
Elbert County,16.7, Colorado, Colorado,Elbert County  Colorado
Fremont County,29.7, Colorado, Colorado,Fremont County  Colorado
Garfield County,20.6, Colorado, Colorado,Garfield County  Colorado
Gilpin County,19.9, Colorado, Colorado,Gilpin County  Colorado
Grand County,19.6, Colorado, Colorado,Grand County  Colorado
Gunnison County,14.1, Colorado, Colorado,Gunnison County  Colorado
Hinsdale County,14.9, Colorado, Colorado,Hinsdale County  Colorado
Huerfano County,22.6, Colorado, Colorado,Huerfano County  Colorado
Jackson County,20.8, Colorado, Colorado,Jackson County  Colorado
Kiowa County,20.4, Colorado, Colorado,Kiowa County  Colorado
Kit Carson County,24.3, Colorado, Colorado,Kit Carson County  Colorado
La Plata County,17.2, Colorado, Colorado,La Plata County  Colorado
Lake County,20.2, Colorado, Colorado,Lake County  Colorado
Larimer County,17.0, Colorado, Colorado,Larimer County  Colorado
Las Animas County,24.6, Colorado, Colorado,Las Animas County  Colorado
Lincoln County,25.0, Colorado, Colorado,Lincoln County  Colorado
Logan County,27.0, Colorado, Colorado,Logan County  Colorado
Mesa County,22.7, Colorado, Colorado,Mesa County  Colorado
Mineral County,16.2, Colorado, Colorado,Mineral County  Colorado
Moffat County,24.0, Colorado, Colorado,Moffat County  Colorado
Montezuma County,20.1, Colorado, Colorado,Montezuma County  Colorado
Montrose County,21.0, Colorado, Colorado,Montrose County  Colorado
Morgan County,23.7, Colorado, Colorado,Morgan County  Colorado
Otero County,25.3, Colorado, Colorado,Otero County  Colorado
Ouray County,15.1, Colorado, Colorado,Ouray County  Colorado
Park County,19.8, Colorado, Colorado,Park County  Colorado
Phillips County,21.3, Colorado, Colorado,Phillips County  Colorado
Pitkin County,13.8, Colorado, Colorado,Pitkin County  Colorado
Prowers County,22.5, Colorado, Colorado,Prowers County  Colorado
Pueblo County,25.6, Colorado, Colorado,Pueblo County  Colorado
Rio Blanco County,19.0, Colorado, Colorado,Rio Blanco County  Colorado
Rio Grande County,20.2, Colorado, Colorado,Rio Grande County  Colorado
Routt County,14.9, Colorado, Colorado,Routt County  Colorado
Saguache County,21.6, Colorado, Colorado,Saguache County  Colorado
San Juan County,20.2, Colorado, Colorado,San Juan County  Colorado
San Miguel County,12.2, Colorado, Colorado,San Miguel County  Colorado
Sedgwick County,24.0, Colorado, Colorado,Sedgwick County  Colorado
Summit County,14.5, Colorado, Colorado,Summit County  Colorado
Teller County,23.6, Colorado, Colorado,Teller County  Colorado
Washington County,22.4, Colorado, Colorado,Washington County  Colorado
Yuma County,21.8, Colorado, Colorado,Yuma County  Colorado
Fairfield County,15.1, Connecticut, Connecticut,Fairfield County  Connecticut
Hartford County,18.1, Connecticut, Connecticut,Hartford County  Connecticut
Litchfield County,20.1, Connecticut, Connecticut,Litchfield County  Connecticut
Middlesex County,18.9, Connecticut, Connecticut,Middlesex County  Connecticut
New Haven County,20.9, Connecticut, Connecticut,New Haven County  Connecticut
New London County,20.0, Connecticut, Connecticut,New London County  Connecticut
Tolland County,16.5, Connecticut, Connecticut,Tolland County  Connecticut
Windham County,21.3, Connecticut, Connecticut,Windham County  Connecticut
District of Columbia,20.7, DC, DC,District of Columbia  DC
Kent County,24.1, Delaware, Delaware,Kent County  Delaware
New Castle County,20.4, Delaware, Delaware,New Castle County  Delaware
Sussex County,25.1, Delaware, Delaware,Sussex County  Delaware
Alachua County,17.9, Florida, Florida,Alachua County  Florida
Baker County,28.3, Florida, Florida,Baker County  Florida
Bay County,26.3, Florida, Florida,Bay County  Florida
Bradford County,29.5, Florida, Florida,Bradford County  Florida
Brevard County,24.7, Florida, Florida,Brevard County  Florida
Broward County,17.9, Florida, Florida,Broward County  Florida
Calhoun County,28.5, Florida, Florida,Calhoun County  Florida
Charlotte County,25.7, Florida, Florida,Charlotte County  Florida
Citrus County,29.2, Florida, Florida,Citrus County  Florida
Clay County,23.1, Florida, Florida,Clay County  Florida
Collier County,19.5, Florida, Florida,Collier County  Florida
Columbia County,29.9, Florida, Florida,Columbia County  Florida
DeSoto County,27.6, Florida, Florida,DeSoto County  Florida
Dixie County,34.4, Florida, Florida,Dixie County  Florida
Duval County,24.1, Florida, Florida,Duval County  Florida
Escambia County,26.1, Florida, Florida,Escambia County  Florida
Flagler County,27.1, Florida, Florida,Flagler County  Florida
Franklin County,29.5, Florida, Florida,Franklin County  Florida
Gadsden County,23.6, Florida, Florida,Gadsden County  Florida
Gilchrist County,27.9, Florida, Florida,Gilchrist County  Florida
Glades County,27.8, Florida, Florida,Glades County  Florida
Gulf County,28.9, Florida, Florida,Gulf County  Florida
Hamilton County,31.4, Florida, Florida,Hamilton County  Florida
Hardee County,23.3, Florida, Florida,Hardee County  Florida
Hendry County,24.1, Florida, Florida,Hendry County  Florida
Hernando County,28.3, Florida, Florida,Hernando County  Florida
Highlands County,26.3, Florida, Florida,Highlands County  Florida
Hillsborough County,20.8, Florida, Florida,Hillsborough County  Florida
Holmes County,29.4, Florida, Florida,Holmes County  Florida
Indian River County,24.3, Florida, Florida,Indian River County  Florida
Jackson County,25.0, Florida, Florida,Jackson County  Florida
Jefferson County,25.8, Florida, Florida,Jefferson County  Florida
Lafayette County,29.6, Florida, Florida,Lafayette County  Florida
Lake County,23.8, Florida, Florida,Lake County  Florida
Lee County,22.9, Florida, Florida,Lee County  Florida
Leon County,17.0, Florida, Florida,Leon County  Florida
Levy County,28.2, Florida, Florida,Levy County  Florida
Liberty County,27.8, Florida, Florida,Liberty County  Florida
Madison County,27.3, Florida, Florida,Madison County  Florida
Manatee County,23.4, Florida, Florida,Manatee County  Florida
Marion County,24.9, Florida, Florida,Marion County  Florida
Martin County,22.3, Florida, Florida,Martin County  Florida
Miami-Dade County,16.1, Florida, Florida,Miami-Dade County  Florida
Monroe County,22.9, Florida, Florida,Monroe County  Florida
Nassau County,24.3, Florida, Florida,Nassau County  Florida
Okaloosa County,25.5, Florida, Florida,Okaloosa County  Florida
Okeechobee County,29.4, Florida, Florida,Okeechobee County  Florida
Orange County,18.8, Florida, Florida,Orange County  Florida
Osceola County,22.0, Florida, Florida,Osceola County  Florida
Palm Beach County,18.6, Florida, Florida,Palm Beach County  Florida
Pasco County,27.4, Florida, Florida,Pasco County  Florida
Pinellas County,26.6, Florida, Florida,Pinellas County  Florida
Polk County,23.8, Florida, Florida,Polk County  Florida
Putnam County,28.2, Florida, Florida,Putnam County  Florida
Santa Rosa County,24.8, Florida, Florida,Santa Rosa County  Florida
Sarasota County,23.5, Florida, Florida,Sarasota County  Florida
Seminole County,20.3, Florida, Florida,Seminole County  Florida
St. Johns County,19.2, Florida, Florida,St. Johns County  Florida
St. Lucie County,24.5, Florida, Florida,St. Lucie County  Florida
Sumter County,24.8, Florida, Florida,Sumter County  Florida
Suwannee County,28.9, Florida, Florida,Suwannee County  Florida
Taylor County,31.7, Florida, Florida,Taylor County  Florida
Union County,31.8, Florida, Florida,Union County  Florida
Volusia County,26.8, Florida, Florida,Volusia County  Florida
Wakulla County,27.6, Florida, Florida,Wakulla County  Florida
Walton County,27.5, Florida, Florida,Walton County  Florida
Washington County,30.1, Florida, Florida,Washington County  Florida
Appling County,25.1, Georgia, Georgia,Appling County  Georgia
Atkinson County,27.7, Georgia, Georgia,Atkinson County  Georgia
Bacon County,27.8, Georgia, Georgia,Bacon County  Georgia
Baker County,26.5, Georgia, Georgia,Baker County  Georgia
Baldwin County,25.0, Georgia, Georgia,Baldwin County  Georgia
Banks County,25.2, Georgia, Georgia,Banks County  Georgia
Barrow County,23.5, Georgia, Georgia,Barrow County  Georgia
Bartow County,26.5, Georgia, Georgia,Bartow County  Georgia
Ben Hill County,28.2, Georgia, Georgia,Ben Hill County  Georgia
Berrien County,28.9, Georgia, Georgia,Berrien County  Georgia
Bibb County,23.5, Georgia, Georgia,Bibb County  Georgia
Bleckley County,25.7, Georgia, Georgia,Bleckley County  Georgia
Brantley County,30.0, Georgia, Georgia,Brantley County  Georgia
Brooks County,28.3, Georgia, Georgia,Brooks County  Georgia
Bryan County,20.7, Georgia, Georgia,Bryan County  Georgia
Bulloch County,21.9, Georgia, Georgia,Bulloch County  Georgia
Burke County,26.7, Georgia, Georgia,Burke County  Georgia
Butts County,28.3, Georgia, Georgia,Butts County  Georgia
Calhoun County,26.1, Georgia, Georgia,Calhoun County  Georgia
Camden County,24.1, Georgia, Georgia,Camden County  Georgia
Candler County,24.4, Georgia, Georgia,Candler County  Georgia
Carroll County,25.7, Georgia, Georgia,Carroll County  Georgia
Catoosa County,25.2, Georgia, Georgia,Catoosa County  Georgia
Charlton County,30.1, Georgia, Georgia,Charlton County  Georgia
Chatham County,22.5, Georgia, Georgia,Chatham County  Georgia
Chattahoochee County,19.6, Georgia, Georgia,Chattahoochee County  Georgia
Chattooga County,30.6, Georgia, Georgia,Chattooga County  Georgia
Cherokee County,20.1, Georgia, Georgia,Cherokee County  Georgia
Clarke County,18.0, Georgia, Georgia,Clarke County  Georgia
Clay County,27.7, Georgia, Georgia,Clay County  Georgia
Clayton County,22.2, Georgia, Georgia,Clayton County  Georgia
Clinch County,26.7, Georgia, Georgia,Clinch County  Georgia
Cobb County,17.3, Georgia, Georgia,Cobb County  Georgia
Coffee County,27.2, Georgia, Georgia,Coffee County  Georgia
Colquitt County,28.4, Georgia, Georgia,Colquitt County  Georgia
Columbia County,19.1, Georgia, Georgia,Columbia County  Georgia
Cook County,29.7, Georgia, Georgia,Cook County  Georgia
Coweta County,22.4, Georgia, Georgia,Coweta County  Georgia
Crawford County,25.9, Georgia, Georgia,Crawford County  Georgia
Crisp County,27.9, Georgia, Georgia,Crisp County  Georgia
Dade County,24.1, Georgia, Georgia,Dade County  Georgia
Dawson County,23.2, Georgia, Georgia,Dawson County  Georgia
DeKalb County,16.7, Georgia, Georgia,DeKalb County  Georgia
Decatur County,25.3, Georgia, Georgia,Decatur County  Georgia
Dodge County,25.1, Georgia, Georgia,Dodge County  Georgia
Dooly County,28.1, Georgia, Georgia,Dooly County  Georgia
Dougherty County,24.8, Georgia, Georgia,Dougherty County  Georgia
Douglas County,23.3, Georgia, Georgia,Douglas County  Georgia
Early County,26.4, Georgia, Georgia,Early County  Georgia
Echols County,26.7, Georgia, Georgia,Echols County  Georgia
Effingham County,23.9, Georgia, Georgia,Effingham County  Georgia
Elbert County,26.5, Georgia, Georgia,Elbert County  Georgia
Emanuel County,26.6, Georgia, Georgia,Emanuel County  Georgia
Evans County,26.3, Georgia, Georgia,Evans County  Georgia
Fannin County,26.2, Georgia, Georgia,Fannin County  Georgia
Fayette County,16.9, Georgia, Georgia,Fayette County  Georgia
Floyd County,26.3, Georgia, Georgia,Floyd County  Georgia
Forsyth County,16.0, Georgia, Georgia,Forsyth County  Georgia
