County,State,Life expectancy 2010
Jackson County, Florida,76.22
Jefferson County, Florida,76.61
Lafayette County, Florida,76.86
Lake County, Florida,78.88
Lee County, Florida,80.30
Leon County, Florida,79.00
Levy County, Florida,75.44
Liberty County, Florida,76.11
Madison County, Florida,75.58
Manatee County, Florida,79.91
Marion County, Florida,77.53
Martin County, Florida,80.92
Miami-Dade County, Florida,80.09
Monroe County, Florida,78.30
Nassau County, Florida,77.65
Okaloosa County, Florida,78.30
Okeechobee County, Florida,75.95
Orange County, Florida,79.12
Osceola County, Florida,78.82
Palm Beach County, Florida,80.83
Pasco County, Florida,77.56
Pinellas County, Florida,78.47
Polk County, Florida,77.82
Putnam County, Florida,74.84
Saint Johns County, Florida,80.47
Saint Lucie County, Florida,78.78
Santa Rosa County, Florida,77.94
Sarasota County, Florida,81.11
Seminole County, Florida,80.08
Sumter County, Florida,80.99
Suwannee County, Florida,75.76
Taylor County, Florida,75.67
Union County, Florida,68.12
Volusia County, Florida,77.58
Wakulla County, Florida,76.53
Walton County, Florida,77.11
Washington County, Florida,74.98
Appling County, Georgia,74.38
Atkinson County, Georgia,73.73
Bacon County, Georgia,72.96
Baker County, Georgia,77.57
Baldwin County, Georgia,76.18
Banks County, Georgia,77.53
Barrow County, Georgia,76.29
Bartow County, Georgia,75.97
Ben Hill County, Georgia,73.63
Berrien County, Georgia,75.16
Bibb County, Georgia,73.54
Bleckley County, Georgia,75.62
Brantley County, Georgia,74.77
Brooks County, Georgia,75.68
Bryan County, Georgia,75.87
Bulloch County, Georgia,76.99
Burke County, Georgia,73.33
Butts County, Georgia,74.34
Calhoun County, Georgia,73.99
Camden County, Georgia,77.52
Candler County, Georgia,74.40
Carroll County, Georgia,75.36
Catoosa County, Georgia,78.13
Charlton County, Georgia,75.45
Chatham County, Georgia,76.65
Chattahoochee County, Georgia,77.05
Chattooga County, Georgia,74.62
Cherokee County, Georgia,79.14
Clarke County, Georgia,78.32
Clay County, Georgia,74.19
Clayton County, Georgia,76.64
Clinch County, Georgia,73.14
Cobb County, Georgia,79.69
Coffee County, Georgia,75.07
Colquitt County, Georgia,74.98
Columbia County, Georgia,79.31
Cook County, Georgia,74.29
Coweta County, Georgia,77.83
Crawford County, Georgia,76.60
Crisp County, Georgia,74.70
Dade County, Georgia,75.71
Dawson County, Georgia,77.95
DeKalb County, Georgia,78.54
Decatur County, Georgia,74.43
Dodge County, Georgia,74.84
Dooly County, Georgia,76.88
Dougherty County, Georgia,75.45
Douglas County, Georgia,76.75
Early County, Georgia,73.89
Echols County, Georgia,77.38
Effingham County, Georgia,76.86
Elbert County, Georgia,74.90
Emanuel County, Georgia,73.41
Evans County, Georgia,74.97
Fannin County, Georgia,77.00
Fayette County, Georgia,80.82
Floyd County, Georgia,75.81
Forsyth County, Georgia,81.13
Franklin County, Georgia,75.12
Fulton County, Georgia,76.99
Gilmer County, Georgia,78.23
Glascock County, Georgia,74.58
Glynn County, Georgia,76.54
Gordon County, Georgia,75.72
Grady County, Georgia,75.71
Greene County, Georgia,76.43
Gwinnett County, Georgia,80.26
Habersham County, Georgia,78.24
Hall County, Georgia,78.59
Hancock County, Georgia,75.08
Haralson County, Georgia,73.93
Harris County, Georgia,78.57
Hart County, Georgia,76.95
Heard County, Georgia,75.00
Henry County, Georgia,77.32
Houston County, Georgia,77.54
Irwin County, Georgia,75.51
Jackson County, Georgia,75.76
Jasper County, Georgia,76.17
Jeff Davis County, Georgia,73.71
Jefferson County, Georgia,73.24
Jenkins County, Georgia,74.17
Johnson County, Georgia,75.81
Jones County, Georgia,77.92
Lamar County, Georgia,74.66
Lanier County, Georgia,75.21
Laurens County, Georgia,74.97
Lee County, Georgia,77.80
Liberty County, Georgia,76.58
Lincoln County, Georgia,75.72
Long County, Georgia,76.79
Lowndes County, Georgia,75.80
Lumpkin County, Georgia,77.67
Macon County, Georgia,73.79
Madison County, Georgia,75.64
Marion County, Georgia,75.48
McDuffie County, Georgia,73.51
McIntosh County, Georgia,77.67
Meriwether County, Georgia,74.79
Miller County, Georgia,75.40
Mitchell County, Georgia,75.04
Monroe County, Georgia,76.94
