State,County,Obesity,Min Wage,Life expectancy 2010,Percent Smokers,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,Unemployment_rate_2010
New York,Franklin County,28.9,7.25,73.57,26.9,1656,10694,12350,10.7
North Carolina,Franklin County,33.4,7.25,73.57,26.9,1656,10694,12350,10.7
Ohio,Franklin County,30.3,7.85,73.57,26.9,1656,10694,12350,10.7
Pennsylvania,Franklin County,32.4,7.25,73.57,26.9,1656,10694,12350,10.7
Tennessee,Franklin County,31.5,7.25,73.57,26.9,1656,10694,12350,10.7
Texas,Franklin County,28.3,7.25,73.57,26.9,1656,10694,12350,10.7
Vermont,Franklin County,29.2,7.25,73.57,26.9,1656,10694,12350,10.7
Virginia,Franklin County,29,7.25,73.57,26.9,1656,10694,12350,10.7
Washington,Franklin County,32.2,9.19,73.57,26.9,1656,10694,12350,10.7
Alabama,Geneva County,34,7.25,75.65,28.0,1296,9069,10365,10.4
Alabama,Greene County,47.9,7.25,74.08,25.1,1136,5037,6173,17.3
Arkansas,Greene County,37.8,7.25,74.08,25.1,1136,5037,6173,17.3
Georgia,Greene County,31.9,7.25,74.08,25.1,1136,5037,6173,17.3
Illinois,Greene County,30.4,7.25,74.08,25.1,1136,5037,6173,17.3
Indiana,Greene County,33.1,7.25,74.08,25.1,1136,5037,6173,17.3
Iowa,Greene County,29.5,7.25,74.08,25.1,1136,5037,6173,17.3
Mississippi,Greene County,37.7,7.25,74.08,25.1,1136,5037,6173,17.3
Missouri,Greene County,29.4,7.35,74.08,25.1,1136,5037,6173,17.3
New York,Greene County,30.3,7.25,74.08,25.1,1136,5037,6173,17.3
North Carolina,Greene County,31.8,7.25,74.08,25.1,1136,5037,6173,17.3
Ohio,Greene County,26,7.85,74.08,25.1,1136,5037,6173,17.3
Pennsylvania,Greene County,30.7,7.25,74.08,25.1,1136,5037,6173,17.3
Tennessee,Greene County,35.4,7.25,74.08,25.1,1136,5037,6173,17.3
Virginia,Greene County,29.9,7.25,74.08,25.1,1136,5037,6173,17.3
Alabama,Hale County,41.6,7.25,73.93,24.7,1628,6138,7766,15.1
Texas,Hale County,28.2,7.25,73.93,24.7,1628,6138,7766,15.1
Alabama,Henry County,34.6,7.25,75.82,23.8,968,5793,6761,10.9
Georgia,Henry County,28.5,7.25,75.82,23.8,968,5793,6761,10.9
Illinois,Henry County,28.5,7.25,75.82,23.8,968,5793,6761,10.9
Indiana,Henry County,29.7,7.25,75.82,23.8,968,5793,6761,10.9
Iowa,Henry County,31,7.25,75.82,23.8,968,5793,6761,10.9
Kentucky,Henry County,35.3,7.25,75.82,23.8,968,5793,6761,10.9
Missouri,Henry County,33.1,7.35,75.82,23.8,968,5793,6761,10.9
Ohio,Henry County,33,7.85,75.82,23.8,968,5793,6761,10.9
Tennessee,Henry County,35.2,7.25,75.82,23.8,968,5793,6761,10.9
